1111 ; dhr. ; A. ;  ; Hilverda ; ouder ; Snoystraat ; 1 ; Gouda ; 2802 SV ; 06-1234321 ; 0182-234321 ; Hilverda@planeet.nl
8482 ; mw. ; N.J. ; Voogt ; voogd ; ouder ; Kolkmanstraat ; 25 ; Gouda ; 2805 CG ; 06-71944324 ; 0182-944324 ; Jouta@hetweb.nl
8489 ; dhr. ; O.K. ;  ; Kolkena ; ouder ; Vuurdoornlaan ; 2 ; Gouda ; 2803 BB ; 06-72063121 ; 0182-63121 ; Kolkena@xs4you.nl
8496 ; mw. ; P.L. ; de ; Liezenga ; ouder ; Planciuslaan ; 12 ; Gouda ; 2803 EE ; 06-72182016 ; 0182-182016 ; Liezenga@zoggi.nl
8503 ; dhr. ; Q.N. ;  ; Nauta ; ouder ; Wiltenburg ; 22 ; Gouda ; 2804 ZG ; 06-72301009 ; 0182-301009 ; Nauta@freeweb.com
8510 ; mw. ; R.P. ;  ; Poldersma ; ouder ; Sleedoornsingel ; 32 ; Gouda ; 2803 BZ ; 06-72420100 ; 0182-420100 ; Poldersma@gmailer.com
8517 ; dhr. ; S.R. ;  ; Rientstra ; ouder ; Crabethpark ; 9 ; Gouda ; 2801 AR ; 06-72539289 ; 0182-539289 ; Rientstra@hotmailing.com
8524 ; mw. ; T.S. ;  ; Scharringa ; ouder ; Nieuwehaven ; 19 ; Gouda ; 2801 EA ; 06-72658576 ; 0182-658576 ; Scharringa@planeet.nl
8531 ; dhr. ; U.S. ;  ; Sijbesma ; ouder ; Hanegevecht ; 29 ; Reeuwijk ; 2811 AD ; 06-72777961 ; 0182-777961 ; Sijbesma@hetweb.nl
8538 ; mw. ; V.S. ;  ; Stegenga ; ouder ; Zoutmansweg ; 6 ; Reeuwijk ; 2811 ES ; 06-72897444 ; 0182-897444 ; Stegenga@xs4you.nl
8545 ; dhr. ; W.T. ;  ; Terpstra ; ouder ; Freesiapad ; 16 ; Gouda ; 2803 AP ; 06-73017025 ; 0182-17025 ; Terpstra@zoggi.nl
8552 ; mw. ; X.U. ;  ; Ungersma ; ouder ; Veenenburg ; 26 ; Gouda ; 2804 WV ; 06-73136704 ; 0182-136704 ; Ungersma@freeweb.com
8559 ; dhr. ; Y.W. ;  ; Weeda ; ouder ; Turfsingel ; 3 ; Gouda ; 2802 BD ; 06-73256481 ; 0182-256481 ; Weeda@gmailer.com
8566 ; mw. ; Z.W. ;  ; Wogma ; ouder ; Schoolstraat ; 13 ; Stolwijk ; 2821 AM ; 06-73376356 ; 0182-376356 ; Wogma@hotmailing.com
8573 ; dhr. ; A.A. ;  ; Aikema ; ouder ; Hennephof ; 23 ; Stolwijk ; 2821 SK ; 06-73496329 ; 0182-496329 ; Aikema@planeet.nl
8580 ; mw. ; B.B. ;  ; Baringa ; ouder ; Raam ; 33 ; Gouda ; 2801 VK ; 06-73616400 ; 0182-616400 ; Baringa@hetweb.nl
8587 ; dhr. ; C.B. ;  ; Bloksma ; ouder ; Van Brederodestraat ; 10 ; Reeuwijk ; 2811 XH ; 06-73736569 ; 0182-736569 ; Bloksma@xs4you.nl
8594 ; mw. ; D.B. ;  ; Broersema ; ouder ; Jan Luykenstraat ; 20 ; Gouda ; 2806 PE ; 06-73856836 ; 0182-856836 ; Broersema@zoggi.nl
8601 ; dhr. ; E.D. ;  ; Dongstra ; ouder ; Zuidhoef ; 30 ; Gouda ; 2804 TA ; 06-73977201 ; 0182-977201 ; Dongstra@freeweb.com
8608 ; mw. ; F.F. ; van ; Fennema ; ouder ; Wethouder Venteweg ; 7 ; Gouda ; 2805 JK ; 06-74097664 ; 0182-97664 ; Fennema@gmailer.com
8615 ; dhr. ; G.G. ;  ; Grozema ; ouder ; Gravestein ; 17 ; Gouda ; 2804 GT ; 06-74218225 ; 0182-218225 ; Grozema@hotmailing.com
8622 ; mw. ; H.H. ;  ; Heininga ; ouder ; Tulpenpad ; 27 ; Gouda ; 2803 AV ; 06-74338884 ; 0182-338884 ; Heininga@planeet.nl
8629 ; dhr. ; I.H. ;  ; Hooijenga ; ouder ; Schielands Hoge Zeedijk ; 4 ; Gouda ; 2802 RC ; 06-74459641 ; 0182-459641 ; Hooijenga@hetweb.nl
8636 ; mw. ; J.J. ; de ; Jeeninga ; ouder ; Koningin Wilhelminastraat ; 14 ; Reeuwijk ; 2811 TW ; 06-74580496 ; 0182-580496 ; Jeeninga@xs4you.nl
8643 ; dhr. ; K.K. ;  ; Klaversma ; ouder ; Albrechtsveld ; 24 ; Gouda ; 2804 WG ; 06-74701449 ; 0182-701449 ; Klaversma@zoggi.nl
8650 ; mw. ; L.L. ; van de ; Laversma ; ouder ; Van den Boschstraat ; 1 ; Gouda ; 2804 JM ; 06-74822500 ; 0182-822500 ; Laversma@freeweb.com
8657 ; dhr. ; M.M. ;  ; Menkema ; ouder ; Armstronglaan ; 11 ; Reeuwijk ; 2811 SR ; 06-74943649 ; 0182-943649 ; Menkema@gmailer.com
8664 ; mw. ; N.P. ;  ; Pebesma ; ouder ; Vrijheidslaan ; 21 ; Gouda ; 2806 KE ; 06-75064896 ; 0182-64896 ; Pebesma@hotmailing.com
8671 ; dhr. ; O.R. ;  ; Reinstra ; ouder ; Tentweg ; 31 ; Stolwijk ; 2821 AD ; 06-75186241 ; 0182-186241 ; Reinstra@planeet.nl
8678 ; mw. ; P.R. ;  ; Rosema ; ouder ; Kampenringweg ; 8 ; Gouda ; 2803 PE ; 06-75307684 ; 0182-307684 ; Rosema@hetweb.nl
8685 ; dhr. ; Q.S. ;  ; Severina ; ouder ; Lange Groenendaal ; 18 ; Gouda ; 2801 LV ; 06-75429225 ; 0182-429225 ; Severina@xs4you.nl
8692 ; mw. ; R.S. ;  ; Sonsma ; ouder ; Warmoezierskade ; 28 ; Gouda ; 2805 PT ; 06-75550864 ; 0182-550864 ; Sonsma@zoggi.nl
8699 ; dhr. ; S.S. ;  ; Sytsma ; ouder ; Beethovenhof ; 5 ; Gouda ; 2807 PV ; 06-75672601 ; 0182-672601 ; Sytsma@freeweb.com
8706 ; mw. ; T.T. ;  ; Toppinga ; ouder ; Kolfwetering ; 15 ; Gouda ; 2806 VE ; 06-75794436 ; 0182-794436 ; Toppinga@gmailer.com
8713 ; dhr. ; U.V. ; Voogdholst ; voogd ; ouder ; Heuvellaan ; 25 ; Gouda ; 2803 DV ; 06-75916369 ; 0182-916369 ; Vriesenga@hotmailing.com
8720 ; mw. ; V.W. ;  ; Wijbinga ; ouder ; Willem Bontekoesingel ; 2 ; Gouda ; 2803 XN ; 06-76038400 ; 0182-38400 ; Wijbinga@planeet.nl
8727 ; dhr. ; W.Z. ;  ; Zittema ; ouder ; Lekkenburg ; 12 ; Gouda ; 2804 TW ; 06-76160529 ; 0182-160529 ; Zittema@hetweb.nl
8734 ; mw. ; X.A. ;  ; Attinga ; ouder ; Middelburgseweg ; 22 ; Reeuwijk ; 2811 PL ; 06-76282756 ; 0182-282756 ; Attinga@xs4you.nl
8741 ; dhr. ; Y.B. ;  ; Bierma ; ouder ; Drossaardslag ; 32 ; Gouda ; 2805 DE ; 06-76405081 ; 0182-405081 ; Bierma@zoggi.nl
8748 ; mw. ; Z.B. ; van ; Botma ; ouder ; Karnemelksloot ; 9 ; Gouda ; 2806 BB ; 06-76527504 ; 0182-527504 ; Botma@freeweb.com
8755 ; dhr. ; A.D. ;  ; Damsma ; ouder ; Bentpoldererf ; 19 ; Gouda ; 2807 LA ; 06-76650025 ; 0182-650025 ; Damsma@gmailer.com
8762 ; mw. ; B.E. ;  ; Elzema ; ouder ; Waterruit ; 29 ; Gouda ; 2804 PD ; 06-76772644 ; 0182-772644 ; Elzema@hotmailing.com
8769 ; dhr. ; C.G. ;  ; Gerkema ; ouder ; IJssellaan ; 6 ; Gouda ; 2806 TL ; 06-76895361 ; 0182-895361 ; Gerkema@planeet.nl
8776 ; mw. ; D.H. ; de ; Harsma ; ouder ; James Wattstraat ; 16 ; Gouda ; 2809 PA ; 06-77018176 ; 0182-18176 ; Harsma@hetweb.nl
8783 ; dhr. ; E.H. ;  ; Hobma ; ouder ; Benedenkerkseweg ; 26 ; Stolwijk ; 2821 LE ; 06-77141089 ; 0182-141089 ; Hobma@xs4you.nl
8790 ; mw. ; F.I. ;  ; IJlstra ; ouder ; Tentweg ; 3 ; Stolwijk ; 2821 AH ; 06-77264100 ; 0182-264100 ; IJlstra@zoggi.nl
8797 ; dhr. ; G.K. ;  ; Kampinga ; ouder ; Heesterlaan ; 13 ; Gouda ; 2803 BJ ; 06-77387209 ; 0182-387209 ; Kampinga@freeweb.com
8804 ; mw. ; H.K. ;  ; Kraaima ; ouder ; Albert Schweitzerstraat ; 23 ; Reeuwijk ; 2811 TX ; 06-77510416 ; 0182-510416 ; Kraaima@gmailer.com
